,Estimate,Std..Error,z.value,Pr...z..,odds_df,probability_df
(Intercept),-1.786661867,0.520790279,-3.430674383,0.000602083,0.167518436,0.143482476
raceCourseBellewstown,0.37222065,0.182769553,2.036557206,0.041694435,1.450953099,0.591995457
raceCourseClonmel,-0.259577928,0.123490195,-2.102012453,0.035552185,0.771377094,0.435467466
raceCourseCork,-0.066340931,0.115890374,-0.572445571,0.56702015,0.935811762,0.483420847
raceCourseDown Royal,-0.26234049,0.132228957,-1.983986689,0.047257324,0.769249057,0.434788451
raceCourseDownpatrick,-0.216096195,0.132918526,-1.625779349,0.103996603,0.805657798,0.446185207
raceCourseFairyhouse,-0.186857149,0.110165158,-1.696154683,0.08985659,0.829562232,0.453421161
raceCourseGalway,-0.395188023,0.130680597,-3.024075739,0.00249394,0.673553384,0.402469016
raceCourseGowran Park,-0.181128924,0.129092388,-1.403095312,0.160588419,0.834327787,0.454841165
raceCourseKilbeggan,-0.348468317,0.13799303,-2.525260284,0.011561263,0.705768275,0.413753899
raceCourseKillarney,-0.095015818,0.142177918,-0.668288149,0.503949677,0.90935855,0.4762639
raceCourseLeopardstown,-0.316258845,0.130973937,-2.414670054,0.015749469,0.728870761,0.421587766
raceCourseLimerick,-0.021493669,0.111175529,-0.193330939,0.846699798,0.978735673,0.494626789
raceCourseListowel,-0.184998643,0.139224852,-1.32877601,0.183921879,0.831105412,0.453881795
raceCourseNaas,-0.898164195,0.152976238,-5.871266051,4.32E-09,0.407316728,0.289427902
raceCourseNavan,-0.506025388,0.128198402,-3.947205121,7.91E-05,0.602887065,0.376125729
raceCoursePunchestown,-0.401116808,0.110246,-3.638379684,0.000274359,0.669571845,0.401044044
raceCourseRoscommon,-0.255624756,0.152732523,-1.673675989,0.094194295,0.774432515,0.436439543
raceCourseSligo,-0.421743571,0.175233195,-2.406756154,0.016094912,0.65590221,0.396099604
raceCourseThurles,-0.086961413,0.12317978,-0.70597149,0.480205868,0.916712468,0.478273337
raceCourseTipperary,0.059446905,0.133230538,0.446195792,0.655455822,1.061249413,0.514857351
raceCourseTramore,0.027106632,0.118644536,0.22846928,0.819281436,1.027477359,0.506776243
raceCourseWexford,0.14788105,0.114941783,1.286573481,0.198242992,1.159374981,0.536903035
raceConditionsGood To Firm,-0.208318821,0.151811779,-1.372217775,0.169995653,0.811948129,0.448107822
raceConditionsGood To Yielding,0.146728344,0.064876163,2.261668023,0.023717922,1.158039332,0.536616416
raceConditionsHeavy,0.571489302,0.061440094,9.301569471,1.38E-20,1.770902497,0.639106753
raceConditionsSoft,0.212715,0.057450977,3.702547977,0.000213445,1.237032047,0.552979135
raceConditionsSoft To Heavy,0.382733305,0.078765973,4.859119857,1.18E-06,1.466286926,0.594532173
raceConditionsYielding,0.108253755,0.063153819,1.714128413,0.086505145,1.114330476,0.52703704
raceConditionsYielding To Soft,0.327996591,0.087479148,3.749425979,0.00017724,1.38818424,0.581271837
favouriteFavourite,-1.098913359,0.335701347,-3.273485106,0.0010623,0.333232992,0.249943554
favouriteJoint Favourite,-0.67067111,0.370947203,-1.807996136,0.070607102,0.51136528,0.338346584
favouriteNot Favourite,-0.549773671,0.327299636,-1.679725884,0.093010661,0.577080406,0.365916921
raceTypeHurdle,-0.803193486,0.044101387,-18.21243127,4.11E-74,0.447896327,0.309342816
numberHorses,0.039424113,0.004113214,9.584747461,9.27E-22,1.040211558,0.509854752
raceDistance,0.763711398,0.049918335,15.29921605,7.74E-53,2.14622696,0.682158976
age,-0.013939059,0.010001694,-1.393669742,0.163417357,0.98615764,0.496515292
weight,-0.008025287,0.002227978,-3.602049292,0.000315718,0.99200683,0.497993689
